Query,Brand,Attributes,Product_type
vip hair color,Vip Natural Hair Colour Shampoo,[],hair color
mcaffeine gift set,mCaffeine,['gift set'],
red sauce pasta,Peppy Pasta,['red'],sauce pasta
c to hdmi,,[],hdmi
noise ear buds,Noise,[],ear buds
noise buds vs102,Noise,[],buds
tomato sauce kissan,Kissan,[],sauce
plum cake elite,Plum,"['plum', 'elite']",cake
lemon tea powder,Vayu Tea and Blends,"['lemon', 'tea', 'powder']",tea
paper boat swing,Paper Boat,[],swing
cadbury chocolate box,Cadbury,[],chocolate box
ice cream cream pot,Cream Pot,[],ice cream
baby carry bag,Hot Delivery Bag,[],carry bag
dairy milk packet,Dairy Milk,[],packet
park avenue euphoria,Park Avenue,['euphoria'],
mens face cream,Faceclin,['mens'],face cream
plush pregnancy kit,Plush,[],pregnancy kit
tea light holder,Teabox,[],holder
chilli cheese garlic bread,Garlic,"['chilli', 'cheese', 'garlic']",bread
natural peanut butter,Nutter Butter-S,['natural'],peanut butter
drain cleaner powder,,[],drain cleaner powder
rosemary dry leaves,,"['rosemary', 'dry']",leaves
sugar free jam,Sugar Free,['sugar free'],jam
soap for men,,['for men'],soap
oddy food wrap,Daily Wrap,[],food wrap
candy & toffee,Candycop,[],candy
daily good mishri,Daily Good,[],mishri
anmol dream lite,Anmol,['dream lite'],
all out vaporizer,All Out,[],vaporizer
veg atta maggie,Maggi,['veg'],atta
harry poter kinder,Kinder Joy 2024,['harry poter'],
tata toor dal,Tata Sampann,[],toor dal
stayfree cotton pads,Stayfree,['cotton'],pads
ups for wifi router,,[],ups
kent electric kettle,Kent,[],electric kettle
crompton iron box,Crompton,[],iron box
classmate practical notebook,Classmate,[],notebook
shaving razor women,Bombay shaving Company,['women'],shaving razor
phy body wash,The Natural Wash,[],body wash
korean style chips,Mota Chips,['korean style'],chips
u.s. polo assn.,U.S. Polo Assn.,[],
chicken biryani mix,,"['chicken', 'biryani', 'mix']",
aerial top load,Ariel,[],top load
chocolate mini bite,The Belgian Chocolate,"['chocolate', 'mini']",bite
toothbrush with cover,,['with cover'],toothbrush
gloves for winter,,['for winter'],gloves
amul ghee pouch,Amul,[],ghee
wipro smart bulb,Wipro,['smart'],bulb
everest turmeric powder,Everest,[],turmeric powder
mamaearth hair serum,Mamaearth,[],hair serum
chane ka saag,Chandan,[],saag
khatta meetha namkeen,Khatana,"['khatta', 'meetha']",namkeen
kitchen knife set,Choicest Kitchen,[],knife set
cables & chargers,,[],cables & chargers
kinder joy barbie,Kinder Joy 2024,['barbie'],
jaggery peanut butter,Nutter Butter-S,['jaggery'],peanut butter
baby hair brush,Hair,[],hair brush
daily good akhrot,Daily Good,['akhrot'],
ponds face powder,Pond's,[],face powder
amul milk gold,Amul,['gold'],milk
organic tattva sugar,Organic Tattva,[],sugar
mamypoko pants diaper xl,Mamypoko,['xl'],diaper
cocosutra hot chocolate powder,Cocosutra,['hot chocolate'],powder
10 rupees items,,['10 rupees'],items
cream pot strawberry,Cream Pot,['strawberry'],cream
kinderjoy  harry potter,Kinder Joy 2024,['harry potter'],
loreal night cream,L'Oreal,['night'],cream
cotton face mask,Cotton Mouth,['cotton'],face mask
mars lip drip mist,Mars Cosmetics,"['lip', 'drip', 'mist']",
medimix body wash,Medimix,[],body wash
semi brown rice,Cuppa Rice,"['semi', 'brown']",rice
coconut water fresh,Thai Coco,['fresh'],coconut water
denver gift set,Denver,[],gift set
camlin colour pencils,Camlin Kokuyo,[],colour pencils
ariel liquid front load,Ariel,"['liquid', 'front load']",
harry potter kindarjoy,,[],
mirinda soft drinks,Mirinda,[],soft drinks
peel of mask,Suraksha Mask,['peel off'],mask
peanut butter bar,Bar Box,[],bar
dairy milk cracker,Dairy Milk,[],cracker
active salt toothpaste,Salt,['active'],toothpaste
lipstick under 100,Makeup Revolution,['under 100'],lipstick
cello ball pen,Cello,[],ball pen
rice paper sheets,,"['rice', 'paper', 'sheets']",
liberty adult diaper,Liberty,['adult'],diaper
kinder schoko-bons crispy,Kinder Schoko Bons,['crispy'],
hair serum streax,Streax,[],hair serum
ecoright crossbody bag,,[],crossbody bag
cut mango pickle,Mango,['cut'],mango pickle
3 pin socket,Pin,[],socket
dairy milk combo,Dairy Milk,['combo'],
pac contact lenses,Contacts,[],contact lenses
biscuit sugar free,Sugar Free,['sugar free'],biscuit
masala tea powder,Tata Tea,['masala'],tea powder
lux cozi trunks,Lux Cozi,[],trunks
gulabari rose water,Gulab Oil,"['gulabari', 'rose']",water
lemon iced tea,Lipton Ice Tea,"['lemon', 'iced']",tea
modern whole wheat bread,Modern,['whole wheat'],bread
100 pages notebook,,['100 pages'],notebook
usb c to hdmi,,[],hdmi
cnv-paneer tikka masala,Sakthi Masala,['paneer tikka masala'],
britannia cakes cakes,Britannia,[],cakes
parachute oil small,Parachute,['small'],oil
campa lemon pet,Campa,['lemon'],pet
loto choco pie,Lotte,['choco pie'],
dairy milk ganache,Cadbury,['ganache'],dairy milk
kirti gold oil,Gulab Oil,['gold'],oil
milkfood desi ghee,Milkfood,[],ghee
automatic fragrance spray,Aroma,['automatic'],fragrance spray
gifts for birthday,,"['gifts', 'for birthday']",
birds eye chilli,Keya,['birds eye'],chilli
oven cake mix,Ovenfresh,[],cake mix
fresh idli batter,,['fresh'],idli batter
use and throw glass,Glass Ideas,['use and throw'],glass
dry black grapes,Fruits,"['dry', 'black']",grapes
smart watch for kids,,['for kids'],smart watch
watch for boys,Monkey Boys,['for boys'],watch
tulsi ginger tea,Honest Tea,"['tulsi', 'ginger']",tea
derma co soap,The Derma Co,[],soap
electric breast pump,,[],breast pump
sunflower oil 500 ml,Bio Oil,['500 ml'],sunflower oil
oil free moisturizer,Moistane,['oil free'],moisturizer
shakti bhog aata,Shakti Bhog,[],aata
gala bathroom brush,Gala,[],bathroom brush
zinger garlic paste,Garlic,['garlic'],paste
parle g dark,Parle,['dark'],
tiffin box for kids,Tintbox,['for kids'],tiffin box
no rulz cheese,Simply Cheese,[],cheese
fujifilm computer peripherals,Fujifilm,[],computer peripherals
cat food drools,Drools,[],cat food
brain freeze hookah,Frehly Frozen,[],hookah
fair & lovely face wash,Glow & Lovely,[],face wash
veg sandwich spread,Veocal,['veg'],sandwich spread
the wellness shop,The Wellness Shop,[],
20 litre water,,['20 litre'],water
mustard oil 1l,Gulab Oil,['1l'],mustard oil
id aloo paratha,iD,[],aloo paratha
sid farm milk,Sid's Farm,[],milk
tata instant coffee,Tata,['instant'],coffee
nature fresh soyabean oil,Nature Fresh,[],soyabean oil
vicks drop ginger,Vicks,['ginger'],drop
grey contact lenses,Aquacolor,['grey'],contact lenses
harvest atta bread,Harvest Gold,['atta'],bread
cardia sesame oil,Cardia,[],sesame oil
a3 size paper,Paper Plane Design,['a3 size'],paper
kinder joy girl,Kinder Joy,['girl'],
organic corn flour,Flours,['organic'],corn flour
freedom oil 5,Freedom,['5'],oil
color art paper,Colors,['color'],art paper
steel bowl set,Farm Bowl,['steel'],bowl set
organic wheat atta,Nutri Organics,['organic'],wheat atta
white sugar 5kg,Sugar,"['white', '5kg']",sugar
heels for women,Heelium,['for women'],heels
oil 1 ltr,Gulab Oil,['1 ltr'],oil
stereo sound speaker,,"['stereo', 'sound']",speaker
sugar free snacks,Sugar Free,['sugar free'],snacks
bikano navratan mixture,Bikano,['navratan'],mixture
godrej no.1 soap,Godrej No.1,[],soap
amul cooking butter,Amul,[],cooking butter
mars brush set,Mars Cosmetics,[],brush set
notebook 400 pages,,['400 pages'],notebook
britannia fudge cake,Britannia,['fudge'],cake
sling bag men,Skybags,['men'],sling bag
switz spring roll sheets,Switz,[],spring roll sheets
havmor cookie sandwich,Havmor,[],cookie sandwich
bru coffee pouch,Bru,[],coffee pouch
wd hard disk,WD,[],hard disk
bisleri glass bottle,Bisleri,[],bottle
electric hot pad,,[],hot pad
l'oreal hair serum,L'Oreal,['hair serum'],
face wash plum,Plum,[],face wash
plastic kitchen set,RATAN PLASTICWARE,['plastic'],kitchen set
patanjali washing powder,Patanjali,[],washing powder
good night oil,Good Knight,[],oil
face razor for women,Beardhood,['for women'],face razor
moisturizer with sunscreen,Moistane,"['moisturizer', 'with sunscreen']",
rice sona masoori,Masoori rice,['sona masoori'],rice
red chili powder,Red,['red'],chili powder
amul ghee tin,Amul,[],ghee
little angel diaper,Little Angel,"['little', 'angel']",diaper
dot n key moisturizer,Dot & Key,[],moisturizer
wishcare face wash,WishCare,[],face wash
engage women deodorant,Engage,['women'],deodorant
face wash derma,The Derma Co,['face wash'],
kasata ice cream,Kaleva,[],ice cream
butter mother dairy,Mother Dairy,['butter'],
mash ki daal,Masha,[],daal
derma face serum,Dermafique,[],face serum
plum face sunscreen,Plum,"['face', 'sunscreen']",
peppy tomato disc,Peppy,['tomato'],disc
cat nail cutter,Nailrox,[],nail cutter
mad angles pizza,Fasta Pizza,[],pizza
beco toilet roll,Beco,[],toilet roll
indica hair colour,Indica,[],hair colour
throat relief tablets,,['throat relief'],tablets
nootie dog collar,Nootie,[],dog collar
curl hair gel,Curl Up,['curl'],hair gel
dairy milk fruit nut,Dairy Milk,"['fruit', 'nut']",
real juice mix,Dabur Real,"['juice', 'mix']",
mama earth oil,Mamaearth,[],oil
banjara black henna,Banjara's,['black'],henna
tea powder 3 roses,3 Roses,[],tea powder
red chilli dry,Chillfill,"['red', 'dry']",chilli
cello kids bottle,Cello,[],bottle
kwality pani puri,Kwality,[],pani puri
groundnut oil 5l,Gulab Oil,['5l'],groundnut oil
wishcare roll ons,WishCare,[],roll ons
korean bbq noodles,Nongshim,"['korean', 'bbq']",noodles
shoe shine sponge,,[],shoe shine sponge
portronics wireless charger,Portronics,[],wireless charger
himalayan salt popcorn,Omypop Popcorn,['himalayan salt'],popcorn
octane ball pen,Pentasure,[],ball pen
til ka tail,TilSona,['til'],tail
cerelac wheat apple,Cerelac,"['wheat', 'apple']",
mamaearth hair mask,Mamaearth,[],hair mask
appy flavoured soft drink,Appy,['flavoured'],soft drink
15 litre oil,Bio Oil,['15 litre'],oil
oxylife facial kit,Oxyglow Herbals,['facial kit'],
roll on women,Rollick,['women'],roll on
soft tooth brush,Cotton Mouth,['soft'],tooth brush
haldiram's atta cookies,Haldiram's,[],cookies
nail paint set,Nailrox,[],nail paint set
moong dal sabut,Dalstep,"['moong', 'sabut']",dal
hair dye black,Hair,['black'],hair dye
pintola high protein oats,Pintola,['high protein'],oats
silk dairy milk,Dairy Milk,['silk'],
nakpro protein powder,Nakpro,[],protein powder
blow dry brush,Clean & Dry,[],brush
bartan dhone wala sabun,Vim,['bartan dhone wala'],sabun
vivo v40 cover,,[],cover
pink nail polish,Nailrox,['pink'],nail polish
needle and thread,,[],
cadbury chocolate powder,Cadbury,['chocolate'],powder
bathla ceiling cloth dryer,,[],ceiling cloth dryer
parle oats biscuits,Bournvita Biscuits,[],biscuits
nestle nan pro,Nestle,['nan pro'],
alphonso ice cream,Amul,['alphonso'],ice cream
stain remover pen,Stain Off,[],stain remover pen
amul high protein dahi,Amul,['high protein'],dahi
fortune oil 5,Fortune,['5'],oil
aha glow face wash,Ahaglow,['glow'],face wash
mango pastry jar,Mango,['mango'],pastry jar
ice cream cotton candy,Candycop,['cotton candy'],ice cream
organic corinder seeds,Nutri Organics,['organic'],coriander seeds
shower gel men,Shower To Shower,['men'],shower gel
2 kg sugar,Sugar,['2 kg'],sugar
pre marinated chicken,Real Good Chicken,['pre marinated'],chicken
multigrain atta 5 kg,,"['multigrain', '5 kg']",atta
amul butter 500 gm,Amul,['500 gm'],butter
refined oil soyabean,SoyaRich,"['refined', 'soyabean']",oil
sugar free coke,Coke Zero,['sugar free'],coke
custard apple icecream,Aarctic Ice,['custard apple'],ice cream
300 pages notebook,,['300 pages'],notebook
wai wai chicken,Wai Wai,['chicken'],
wedze by decathlon,Decathlon,[],
good day family pack,Britannia,['family pack'],good day
bragg apple cider vinegar,Bragg,[],apple cider vinegar
country delight dahi,Country Delight,[],dahi
fuel one protein,Fuel One,[],protein
vitamin e capsul,Genone,['vitamin e'],capsule
maggi pack of 12,Maggi,['pack of 12'],
olive oil small,Little Olive,['small'],olive oil
lenovo laptop charger,Lenovo,[],charger
veg atta maggi,Maggi,['veg'],atta
haldiram soan papdi,Haldiram's,[],soan papdi
too yumm bhujia,Too Yumm!,[],bhujia
gulab jamun icecream,Gulab,['gulab jamun'],ice cream
mamaearth onion oil,Mamaearth,['onion'],oil
makka ka atta,Sona Sikka,['makka ka atta'],
suthol antiseptic spray,Suthol,['antiseptic'],spray
spiral bound notebook,,[],notebook
society tea powder,Society,[],tea powder
basmati rice unity,Unity,[],basmati rice
wide tooth comb,,['wide'],tooth comb
kinder joy harry potte,Kinder Joy 2024,[],
no 1 soaps,Godrej No.1,[],soaps
minimalist hair growth serum,Minimalist,['hair growth'],serum
kaju katli haldiram,Haldiram's,[],kaju katli
fridge top cover,,[],top cover
ramdev turmeric powder,Ramdev,[],turmeric powder
phone holder for bike,,[],phone holder
gillette guard 3,Gillette,['guard 3'],
fortune atta 1kg,Fortune,['1kg'],atta
hazel piping bags,Hazel,['hazel'],piping bags
dark chocolate small,Darkins Chocolates,"['dark', 'small']",chocolate
scotch brite wiper,Scotch-Brite,[],wiper
detergent powder 1 kg,,['1 kg'],detergent powder
current instant noodles,Current,[],instant noodles
c to usb,,[],usb
bread bakers dozen,The Baker's Dozen,[],bread
nivea men lip balm,Nivea,['men'],lip balm
unibic choco nut,Unibic,['choco nut'],
nerf toy gun,Nerf,[],toy gun
haldiram's long sev,Haldiram's,['long'],sev
drinking chocolate powder,The Belgian Chocolate,"['drinking', 'chocolate', 'powder']",chocolate
carmesi roll on,Carmesi,[],roll on
mayurank jeerakati rice,Mayurank,[],rice
zip lock cover,,[],zip lock cover
chedda banana chips,Chheda's,['banana'],chips
dark fantasy choco pie,Orion,"['dark', 'choco']",pie
think and grow rich,,[],book
gm extension board,Gm,[],extension board
jiffy gel pen,,[],gel pen
chocolate diary milk,Dairy Milk,[],chocolate
p mark oil,P MARK,['p mark'],oil
bonkerz women's footwear,Bonkerz,"[""women's""]",footwear
mustard oil 5,,"['mustard', '5']",oil
chappi dog food,Chappi,[],dog food
boult z40 pro,Boult Audio,[],z40 pro
korean non veg noodles,,"['korean', 'non veg']",noodles
pedigree puppy food,Pedigree,['puppy'],food
colgate pain out,Colgate,['pain out'],
bikano shahi mixture,Bikano,[],mixture
wild stone steel,Wild Stone,[],steel
mom roasted makhana,MOM,['roasted'],makhana
finish dishwasher detergent,Finish,[],dishwasher detergent
portronics mobile stand,Portronics,[],mobile stand
kindar joy harry potter,Joyology Beauty,[],
stick ice cream,Hocco Ice Creams,[],ice cream
ear buds cotton,Cotton Mouth,['cotton'],ear buds
red rice poha,Cuppa Rice,['red'],poha
hot chocolate cadbury,Cadbury,[],hot chocolate
arun ice creams cassata,Arun Ice Creams,['cassata'],ice creams
pond's niacinamide lotion,Pond's,['niacinamide'],lotion
cream for men,Cream Pot,['for men'],cream
durex air condom,Durex,['air'],condom
charliee til laddu,Charliee,[],laddu
half liter oil,Bio Oil,['half liter'],oil
kanda lasoon masala,Sakthi Masala,"['kanda', 'lasoon', 'masala']",
bread zero maida,Super Bread,"['zero', 'maida']",bread
dry fruits nuts,Sapphire Dry Nuts,"['dry', 'fruits', 'nuts']",
marlboro pocket filter,Marlboro,[],filter
grapes green seedless,Bare Fruit,"['green', 'seedless']",grapes
toy for girls,Star toys,['for girls'],toy
amul masti curd,Amul,['masti'],curd
tops chilli sauce,Tops,[],chilli sauce
choclate dairy milk,Dairy Milk,['chocolate'],
water 250 ml,Liquid,['250 ml'],water
art and craft kit,Clay Craft,[],art and craft kit
hd concealer insight,Insight Cosmetics,['hd'],concealer
tata sampann pista,Tata Sampann,[],pista
gagan mustard oil,Gagan,['mustard'],oil
baby tooth brush,Cotton Mouth,[],tooth brush
head and shoulders shampoo,Head & Shoulders,[],shampoo
tata salt crystal,Tata,['crystal'],salt
maggi magic cubes,Maggi,['magic cubes'],
basin cleaner brush,,[],cleaner brush
bikaji kuch kuch,Bikaji,['kuch kuch'],
sunflower oil packet,,"['sunflower', 'packet']",oil
patanjali dish wash,Patanjali,[],dish wash
anmol lemon mazaa,Anmol,['lemon'],mazaa
anti fungal powder,Fungal,['anti fungal'],powder
ceiling cloth dryer,,[],ceiling cloth dryer
plain puffed rice,Cuppa Rice,['plain'],puffed rice
bail kolhu tel,Bail Kolhu,['bail'],tel
girl gone wild,L.A Girl,[],
sofy pad xl,Sofy,['xl'],pad
vip hair colour shampoo,Vip Natural Hair Colour Shampoo,[],shampoo
pilgrim night cream,Pilgrim,[],night cream
britannia sweet bun,Britannia,['sweet'],bun
ashirwad atta 10kg,Aashirvaad,['10kg'],atta
dal tadka masala,Sakthi Masala,"['dal', 'tadka', 'masala']",
philips body trimmer,Philips,[],body trimmer
chocolate chips cake,Cake Mania,['chocolate chips'],cake
harry potter kinder jo,JO,[],
whisper ultra xxl,Whisper,"['ultra', 'xxl']",
herbal hookah flavour,,['herbal'],hookah flavour
kaleva soan papdi,Kaleva,[],soan papdi
pouch for men,,['for men'],pouch
night dress for women,Soft Attire,['for women'],night dress
guava ice cream,Hocco Ice Creams,['guava'],ice cream
baby bath chair,The Wishing Chair,[],bath chair
iphone 15 pro max cover,,[],cover
brano cream roll,Brano,[],cream roll
english oven pizza,English Oven,[],pizza
cetaphil oily skin,Cetaphil,['oily skin'],
milk choco chips,Hocco Ice Creams,['milk'],choco chips
hoover lunch bag,Hot Delivery Bag,[],lunch bag
colgate purple toothpaste,Colgate,['purple'],toothpaste
kapiva himalaya shilajit,Kapiva,"['himalaya', 'shilajit']",
daily good corn flour,Daily Good,[],corn flour
spigen tempered glass,Spigen,['tempered glass'],
fortune sugar 5kg,Fortune,['5kg'],sugar
paper boat cashew,Paper Boat,[],cashew
tata olive oil,Tata Simply Better,['olive'],oil
kit kat box,Kit-Kat,[],box
thums up 2.25,Thums Up,['2.25'],
choco fudge bar,Chocoliebe,[],choco fudge bar
bread english oven,English Oven,[],bread
fresh fruit juice,Fruits,['fresh'],fruit juice
rubber cricket ball,Cricket Lighters,['rubber'],cricket ball
maggie special masala,Maggi,['special masala'],
nude pink lipstick,Rhe Cosmetics,"['nude', 'pink']",lipstick
brass tea pan,Pan,['brass'],tea pan
instant cake mix,Cake Mania,[],cake mix
fast charging adapter,,['fast charging'],adapter
water bottle hot,,['hot'],water bottle
tan removal cream,,['tan removal'],cream
chumbak analog watch,Chumbak,[],watch
scooty mobile holder,,[],mobile holder
sirona sanitary pads,Sirona,[],sanitary pads
plastic storage box,Big Plastics,['plastic'],storage box
biotique body oil,Biotique,[],body oil
amul cheese 1kg,Amul,['1kg'],cheese
hair color brown,Hair,['brown'],hair color
too yumm kurkure,Too Yumm!,[],kurkure
ultra soft brush,Ultrabrite,['ultra soft'],brush
bata men's footwear,Bata,"[""men's""]",footwear
frooti mango juice,Frooti,[],mango juice
bag for girls,Hot Delivery Bag,['for girls'],bag
portronics laptop table,Portronics,[],laptop table
lemon grass oil,Bio Oil,['lemon grass'],oil
moong chilka dal,Amar Chitra Katha,[],dal
shan chicken masala,Shan,[],chicken masala
insight cosmetics foundation,Insight Cosmetics,[],foundation
ata 5 kg,Atam,['5 kg'],ata
de construct sunscreen,Deconstruct,[],sunscreen
kali much rice,Cuppa Rice,[],rice
mysore sandal soaps,Mysore Sandal,[],soaps
paneer 500 gm,Gm,['500 gm'],paneer
today star tea,Honest Tea,[],tea
nevia roll on,Nivea,[],roll on
xl size diaper,,['xl size'],diaper
littles diaper pants,Littles Expert Baby Care,[],diaper pants
knorr schezwan sauce,Knorr,['schezwan'],sauce
enamor women's underwear,Enamor,"[""women's""]",underwear
avt filter coffee,Avt,[],filter coffee
b natural guava,B Natural,[],guava
gift hamper for men,,['for men'],gift hamper
shin cup noodles,Cup-Ji,[],cup noodles
listerine original mouthwash,Listerine,['original'],mouthwash
polish me pretty,Polish Me Pretty,[],
fortune oil 5 litre,Fortune,['5 litre'],oil
pintola peanut butter 1kg,Pintola,['1kg'],peanut butter
amul dark compound,Amul,"['dark', 'compound']",
double horse urad,Double Horse,[],urad
mysore pak sweet,Mysore,[],sweet
palekar knot khari,Palekar,[],knot khari
namkeen all in one,Real Namkeen,['all in one'],namkeen
hair serum for men,,['for men'],hair serum
gift for teacher,,"['gift', 'for teacher']",
farmley snack mix,Farmley,[],snack mix
plum roll ons,Plum,[],roll ons
haldiram's potato chips,Haldiram's,[],potato chips
vitamin c sunscreen,Vitamin,['vitamin c'],sunscreen
hydrating face wash,The Natural Wash,['hydrating'],face wash
knorr veg soup,Knorr,[],soup
lactogen pro 2,Nestle,['pro 2'],lactogen
buy 1 get 1 free,,['buy 1 get 1 free'],
gold flake honeydew,Gold Flake,['honeydew'],
air pods boat,boat,[],air pods
sunflower oil 15 l,Oilatum,['15 l'],sunflower oil
te-a-me green tea,Te-A-Me,['green'],tea
haldiram's masala kaju,Haldiram's,['masala'],kaju
cow milk paneer,Dairy Milk,"['cow', 'milk']",paneer
drinking glass set,Glass Ideas,[],glass set
butter popcorn tub,Omypop Popcorn,[],popcorn
parle krackjack biscuits,Parle,['Krackjack'],biscuits
fire boltt ninja,Fire Boltt,[],
s24 ultra case,,[],case
black salt makhana,Mr Makhana,['black salt'],makhana
bhagyalakshmi chakki atta,Bhagyalakshmi,[],chakki atta
bed sheet king size,King,['king size'],bed sheet
many poco pants,Mamypoko,[],pants
ching's secret schezwan,Ching's Secret,[],schezwan
palekar crispy khari,Palekar,['crispy'],khari
classmate single line,Classmate,['single line'],
se7en safety pin,Se7en,[],safety pin
gillette shave gel,Gillette,[],shave gel
zip lock bags,Hot Delivery Bag,[],zip lock bags
renu lens solution,Renu,[],lens solution
mtr palak paneer,MTR,['palak paneer'],
cadbury fuse chocolate,Cadbury,['fuse'],chocolate
non-slip mouse pad,,['non-slip'],mouse pad
silicon ice tray,Ice,['silicon'],ice tray
onion half kg,,['half kg'],onion
doms drawing book,Doms,[],drawing book
lalbaba miniket rice,LALBABA,[],rice
amul cheese 1 kg,Amul,['1 kg'],cheese
zero sugar biscuit,Sugar,['zero sugar'],biscuit
1 liter milk,Dairy Milk,['1 liter'],milk
pampers new baby,Pampers,"['new', 'baby']",
iphone 13 pro cover,,[],cover
veg aromat powder,Vermisol,"['veg', 'aromat']",powder
sling bag for men,Skybags,['for men'],sling bag
good day pista,Britannia,['pista'],good day
bingo mad angle,Bingo!,['mad angle'],
makai ka aata,Sharmaji Ka Aata,"['makai', 'aata']",
ashirwad atta 10 kg,Aashirvaad,['10 kg'],atta
iphone 16 mobile,Apple,[],mobile
zebronics thunder pro,Zebronics,['thunder pro'],
new born baby dress,,['new born'],baby dress
sweets gift pack,GRB Sweets,[],gift pack
coffee face wash,,[],face wash
dark chocolate cone,Darkins Chocolates,['dark'],chocolate cone
tetra pack juice,Tecum,[],juice
anar ka juice,Sharmaji Ka Aata,"['anar', 'juice']",
lady finger vegetable,,['lady finger'],vegetable
red bull sugarfree,Red Bull,"['sugarfree', 'red']",
spotify photo frame,,[],photo frame
mee mee feeding bottle,Mee Mee,[],feeding bottle
cheese corn samosa,Cornitos,"['cheese', 'corn']",samosa
school pen box,Tintbox,[],pen box
bucket mug stool,,[],stool
balaji cream and onion,Balaji,"['cream', 'onion']",
durum wheat spaghetti,Peppy Pasta,['durum wheat'],spaghetti
kabuli chana small,Chokhi Dhani,['small'],kabuli chana
good night machine,Good Knight,['good night'],machine
bail kolhu mustard oil,Bail Kolhu,"['bail', 'mustard']",oil
daily good dink,Daily Good,[],dink
real juice apple,Dabur Real,['apple'],juice
unibic butter cookies,Unibic,['butter'],cookies
special masala noodles,Masoori rice,"['special', 'masala']",noodles
retinol face serum,,['retinol'],face serum
good knight flash,Good Knight,['flash'],
relish mutton paya,,"['relish', 'mutton']",paya
onion garlic masala,Garlic,"['onion', 'garlic', 'masala']",
organic chilli powder,Chillfill,['organic'],chilli powder
whiskas cat wet food,Whiskas,[],cat wet food
amul sundae tub,Amul,"['sundae', 'tub']",
iphone 13 pro,,[],iphone
body lotion ponds,Pond's,[],body lotion
garnier vitamin c face wash,Garnier,['vitamin c'],face wash
fit & flex,Fit & Flex,[],
epic coffee mug,Rage Coffee,[],coffee mug
honest tea green tea,Honest Tea,['green'],tea
klf coconad oil,KLF,[],oil
bella vita perfume for women,Bella Vita Organic,['for women'],perfume
hair serum men,Hair,['men'],hair serum
vicks zzzquil gummy,Vicks,"['zzzzquil', 'gummy']",
chocolates dairy milk,Dairy Milk,[],chocolates
rough note book,Tiger Notes,['rough'],notebook
one piece dress,Soft Attire,[],dress
anti dandruff oil,Skindruf,['anti dandruff'],oil
office lunch box,Lunch,[],lunch box
muscleblaze protein powder,MuscleBlaze,[],protein powder
keya chicken pickle,Keya,[],pickle
kashmiri chilli chips,Mota Chips,['kashmiri'],chips
matka kulfi combo,Kaka Halwai,"['matka', 'kulfi', 'combo']",
adukale benne muruku,Adukale,[],muruku
garbage bag jumbo,Jumbola,['jumbo'],garbage bag
lotus lip balm,Lotus Herbals,[],lip balm
bonn fruit bread,Bonn,[],fruit bread
greeting card happy new year,,"['happy', 'new year']",greeting card
daily delight rice,Daily Good,"['daily', 'delight']",rice
cheese slice amul,Amul,[],cheese slice
paneer milky mist,Milky Mist,[],paneer
hair wax stick,Hair,[],hair wax
biscuit big pack,Bournvita Biscuits,['big pack'],biscuit
black surgical mask,Suraksha Mask,['black'],surgical mask
henko front load,Henko,[],front load
