"query","brand","attributes","product_type"
"semi brown rice","bro","['semi', 'brown']","rice"
"coconut water fresh","cocon","['fresh']","coconut water"
"denver gift set","denver","[]","gift set"
"camlin colour pencils",,"[]","colour pencils"
"ariel liquid front load","ariel","['liquid', 'front load']",
"harry potter kindarjoy","joy","[]",
"mirinda soft drinks","mirinda","[]","soft drinks"
"peel of mask",,"['peel off']","mask"
"peanut butter bar",,"[]","bar"
"dairy milk cracker","air","[]","cracker"
"active salt toothpaste","active","['active']","toothpaste"
"lipstick under 100",,"['under 100']","lipstick"
"cello ball pen","cello","[]","ball pen"
"rice paper sheets","ice","['rice', 'paper', 'sheets']",
"liberty adult diaper","liberty","['adult']","diaper"
"kinder schoko-bons crispy","bon","['crispy']",
"hair serum streax","air","[]","hair serum"
"ecoright crossbody bag","cor","[]","crossbody bag"
"cut mango pickle","mango","['cut']","mango pickle"
"3 pin socket","pin","[]","socket"
"dairy milk combo","air","['combo']",
"pac contact lenses","pac","[]","contact lenses"
"biscuit sugar free","sugar","['sugar free']","biscuit"
"masala tea powder","asal","['masala']","tea powder"
"lux cozi trunks","lux","[]","trunks"
"gulabari rose water","gulab","['gulabari', 'rose']","water"
"lemon iced tea","ice","['lemon', 'iced']","tea"
"modern whole wheat bread","modern","['whole wheat']","bread"
"100 pages notebook",,"['100 pages']","notebook"
"usb c to hdmi",,"[]","hdmi"
"cnv-paneer tikka masala","asal","['paneer tikka masala']",
"britannia cakes cakes","britannia","[]","cakes"
"parachute oil small","ara","['small']","oil"
"campa lemon pet","campa","['lemon']","pet"
"loto choco pie","lot","['choco pie']",
"dairy milk ganache","air","['ganache']","dairy milk"
"kirti gold oil","gold","['gold']","oil"
"milkfood desi ghee","milkfood","[]","ghee"
"automatic fragrance spray",,"['automatic']","fragrance spray"
"gifts for birthday",,"['gifts', 'for birthday']",
"birds eye chilli","eye","['birds eye']","chilli"
"oven cake mix",,"[]","cake mix"
"fresh idli batter","fresh","['fresh']","idli batter"
"use and throw glass","gla","['use and throw']","glass"
"dry black grapes",,"['dry', 'black']","grapes"
"smart watch for kids",,"['for kids']","smart watch"
"watch for boys",,"['for boys']","watch"
"tulsi ginger tea","gin","['tulsi', 'ginger']","tea"
"derma co soap",,"[]","soap"
"electric breast pump","ect","[]","breast pump"
"sunflower oil 500 ml","flo","['500 ml']","sunflower oil"
"oil free moisturizer","rize","['oil free']","moisturizer"
"shakti bhog aata","shakti bhog","[]","aata"
"gala bathroom brush","bru","[]","bathroom brush"
"zinger garlic paste","garlic","['garlic']","paste"
"parle g dark","ark","['dark']",
"tiffin box for kids",,"['for kids']","tiffin box"
"no rulz cheese",,"[]","cheese"
"fujifilm computer peripherals","com","[]","computer peripherals"
"cat food drools","drools","[]","cat food"
"brain freeze hookah",,"[]","hookah"
"fair & lovely face wash","ace","[]","face wash"
"veg sandwich spread",,"['veg']","sandwich spread"
"the wellness shop","the wellness shop","[]",
"20 litre water","lit","['20 litre']","water"
"mustard oil 1l","star","['1l']","mustard oil"
"id aloo paratha","ara","[]","aloo paratha"
"sid farm milk","farm","[]","milk"
"tata instant coffee","ant","['instant']","coffee"
"nature fresh soyabean oil","fresh","[]","soyabean oil"
"vicks drop ginger","gin","['ginger']","drop"
"grey contact lenses",,"['grey']","contact lenses"
"harvest atta bread",,"['atta']","bread"
"cardia sesame oil","cardia","[]","sesame oil"
"a3 size paper",,"['a3 size']","paper"
"kinder joy girl","joy","['girl']",
"organic corn flour","cor","['organic']","corn flour"
"freedom oil 5","dom","['5']","oil"
"color art paper",,"['color']","art paper"
"steel bowl set",,"['steel']","bowl set"
"organic wheat atta","nic","['organic']","wheat atta"
"white sugar 5kg","hit","['white', '5kg']","sugar"
"heels for women","omen","['for women']","heels"
"oil 1 ltr",,"['1 ltr']","oil"
"stereo sound speaker",,"['stereo', 'sound']","speaker"
"sugar free snacks","sugar","['sugar free']","snacks"
"bikano navratan mixture","ano","['navratan']","mixture"
"godrej no.1 soap","godrej","[]","soap"
"amul cooking butter","amul","[]","cooking butter"
"mars brush set","bru","[]","brush set"
"notebook 400 pages",,"['400 pages']","notebook"
"britannia fudge cake","britannia","['fudge']","cake"
"sling bag men",,"['men']","sling bag"
"switz spring roll sheets","rin","[]","spring roll sheets"
"havmor cookie sandwich","havmor","[]","cookie sandwich"
"bru coffee pouch","bru","[]","coffee pouch"
"wd hard disk",,"[]","hard disk"
"bisleri glass bottle","bisleri","[]","bottle"
"electric hot pad","ect","[]","hot pad"
"l'oreal hair serum","air","['hair serum']",
"face wash plum","ace","[]","face wash"
"plastic kitchen set","itch","['plastic']","kitchen set"
"patanjali washing powder","anjali","[]","washing powder"
"good night oil","good night","[]","oil"
"face razor for women","ace","['for women']","face razor"
"moisturizer with sunscreen","rize","['moisturizer', 'with sunscreen']",
"rice sona masoori","ice","['sona masoori']","rice"
"red chili powder","red","['red']","chili powder"
"amul ghee tin","amul","[]","ghee"
"little angel diaper","lit","['little', 'angel']","diaper"
"dot n key moisturizer","key","[]","moisturizer"
"wishcare face wash","ace","[]","face wash"
"engage women deodorant","ant","['women']","deodorant"
"face wash derma","ace","['face wash']",
"kasata ice cream","ice","[]","ice cream"
"butter mother dairy","air","['butter']",
"mash ki daal",,"[]","daal"
"derma face serum","ace","[]","face serum"
"plum face sunscreen","ace","['face', 'sunscreen']",
"peppy tomato disc","peppy","['tomato']","disc"
"cat nail cutter",,"[]","nail cutter"
"mad angles pizza",,"[]","pizza"
"beco toilet roll","beco","[]","toilet roll"
"indica hair colour","air","[]","hair colour"
"throat relief tablets",,"['throat relief']","tablets"
"nootie dog collar","colla","[]","dog collar"
"curl hair gel","air","['curl']","hair gel"
"dairy milk fruit nut","air","['fruit', 'nut']",
"real juice mix","ice","['juice', 'mix']",
"mama earth oil","arth","[]","oil"
"banjara black henna","ara","['black']","henna"
"tea powder 3 roses","3 roses","[]","tea powder"
"red chilli dry","red","['red', 'dry']","chilli"
"cello kids bottle","cello","[]","bottle"
"kwality pani puri","kwality","[]","pani puri"
"groundnut oil 5l",,"['5l']","groundnut oil"
"wishcare roll ons",,"[]","roll ons"
"korean bbq noodles",,"['korean', 'bbq']","noodles"
"shoe shine sponge",,"[]","shoe shine sponge"
"portronics wireless charger","arg","[]","wireless charger"
"himalayan salt popcorn","cor","['himalayan salt']","popcorn"
"octane ball pen",,"[]","ball pen"
"til ka tail",,"['til']","tail"
"cerelac wheat apple","apple","['wheat', 'apple']",
"mamaearth hair mask","air","[]","hair mask"
"appy flavoured soft drink","appy","['flavoured']","soft drink"
"15 litre oil","lit","['15 litre']","oil"
"oxylife facial kit","oxylife","['facial kit']",
"roll on women","omen","['women']","roll on"
"soft tooth brush","bru","['soft']","tooth brush"
"haldiram's atta cookies","hald","[]","cookies"
"nail paint set",,"[]","nail paint set"
"moong dal sabut","moon","['moong', 'sabut']","dal"
"hair dye black","air","['black']","hair dye"
"pintola high protein oats","pin","['high protein']","oats"
"silk dairy milk","air","['silk']",
"nakpro protein powder","nakpro","[]","protein powder"
"blow dry brush","bru","[]","brush"
"bartan dhone wala sabun","one","['bartan dhone wala']","sabun"
"vivo v40 cover","vivo","[]","cover"
"pink nail polish","pin","['pink']","nail polish"
"needle and thread",,"[]",
"cadbury chocolate powder","cadbury","['chocolate']","powder"
"bathla ceiling cloth dryer","bathla","[]","ceiling cloth dryer"
"parle oats biscuits","parle","[]","biscuits"
"nestle nan pro","nestle","['nan pro']",
"alphonso ice cream","ice","['alphonso']","ice cream"
"stain remover pen","rem","[]","stain remover pen"
"amul high protein dahi","amul","['high protein']","dahi"
"fortune oil 5","fortune","['5']","oil"
"aha glow face wash","ace","['glow']","face wash"
"mango pastry jar","mango","['mango']","pastry jar"
"ice cream cotton candy","ice","['cotton candy']","ice cream"
"organic corinder seeds","cor","['organic']","coriander seeds"
"shower gel men",,"['men']","shower gel"
"2 kg sugar","sugar","['2 kg']","sugar"
"pre marinated chicken","hic","['pre marinated']","chicken"
"multigrain atta 5 kg",,"['multigrain', '5 kg']","atta"
"amul butter 500 gm","amul","['500 gm']","butter"
"refined oil soyabean","fine","['refined', 'soyabean']","oil"
"sugar free coke","sugar","['sugar free']","coke"
"custard apple icecream","apple","['custard apple']","ice cream"
"300 pages notebook",,"['300 pages']","notebook"
"wai wai chicken","hic","['chicken']",
"wedze by decathlon","deca","[]",
"good day family pack","good day","['family pack']","good day"
"bragg apple cider vinegar","apple","[]","apple cider vinegar"
"country delight dahi","country delight","[]","dahi"
"fuel one protein","fuel one","[]","protein"
"vitamin e capsul","vitamin","['vitamin e']","capsule"
"maggi pack of 12","maggi","['pack of 12']",
"olive oil small",,"['small']","olive oil"
"lenovo laptop charger","arg","[]","charger"
"veg atta maggi","maggi","['veg']","atta"
"haldiram soan papdi","hald","[]","soan papdi"
"too yumm bhujia",,"[]","bhujia"
"gulab jamun icecream","gulab","['gulab jamun']","ice cream"
"mamaearth onion oil","arth","['onion']","oil"
"makka ka atta",,"['makka ka atta']",
"suthol antiseptic spray","ant","['antiseptic']","spray"
"spiral bound notebook",,"[]","notebook"
"society tea powder","society","[]","tea powder"
"basmati rice unity","ice","[]","basmati rice"
"wide tooth comb","com","['wide']","tooth comb"
"kinder joy harry potte","joy","[]",
"no 1 soaps",,"[]","soaps"
"minimalist hair growth serum","air","['hair growth']","serum"
"kaju katli haldiram","hald","[]","kaju katli"
"fridge top cover",,"[]","top cover"
"ramdev turmeric powder","ramdev","[]","turmeric powder"
"phone holder for bike","one","[]","phone holder"
"gillette guard 3","gillette","['guard 3']",
"fortune atta 1kg","fortune","['1kg']","atta"
"hazel piping bags","hazel","['hazel']","piping bags"
"dark chocolate small","ark","['dark', 'small']","chocolate"
"scotch brite wiper","brite","[]","wiper"
"detergent powder 1 kg","gen","['1 kg']","detergent powder"
"current instant noodles","ant","[]","instant noodles"
"c to usb",,"[]","usb"
"bread bakers dozen",,"[]","bread"
"nivea men lip balm","nivea","['men']","lip balm"
"unibic choco nut","unibic","['choco nut']",
"nerf toy gun","nerf","[]","toy gun"
"haldiram's long sev","hald","['long']","sev"
"drinking chocolate powder","king","['drinking', 'chocolate', 'powder']","chocolate"
"carmesi roll on","carmesi","[]","roll on"
"mayurank jeerakati rice","era","[]","rice"
"zip lock cover","loc","[]","zip lock cover"
"chedda banana chips",,"['banana']","chips"
"dark fantasy choco pie","ant","['dark', 'choco']","pie"
"think and grow rich",,"[]","book"
"gm extension board",,"[]","extension board"
"jiffy gel pen",,"[]","gel pen"
"chocolate diary milk",,"[]","chocolate"
"p mark oil","ark","['p mark']","oil"
"bonkerz women's footwear","bon","[""women's""]","footwear"
"mustard oil 5","star","['mustard', '5']","oil"
"chappi dog food","chappi","[]","dog food"
"boult z40 pro","pro","[]","z40 pro"
"korean non veg noodles",,"['korean', 'non veg']","noodles"
"pedigree puppy food","pedigree","['puppy']","food"
"colgate pain out","colgate","['pain out']",
"bikano shahi mixture","ano","[]","mixture"
"wild stone steel","one","[]","steel"
"mom roasted makhana","mom","['roasted']","makhana"
"finish dishwasher detergent","finish","[]","dishwasher detergent"
"portronics mobile stand","mobil","[]","mobile stand"
"kindar joy harry potter","joy","[]",
"stick ice cream","ice","[]","ice cream"
"ear buds cotton",,"['cotton']","ear buds"
"red rice poha","ice","['red']","poha"
"hot chocolate cadbury","cadbury","[]","hot chocolate"
"arun ice creams cassata","arun ice creams","['cassata']","ice creams"
"pond's niacinamide lotion","lot","['niacinamide']","lotion"
"cream for men",,"['for men']","cream"
"durex air condom","air","['air']","condom"
"charliee til laddu","add","[]","laddu"
"half liter oil","lit","['half liter']","oil"
"kanda lasoon masala","asal","['kanda', 'lasoon', 'masala']",
"bread zero maida",,"['zero', 'maida']","bread"
"dry fruits nuts","fru","['dry', 'fruits', 'nuts']",
"marlboro pocket filter","marlboro","[]","filter"
"grapes green seedless",,"['green', 'seedless']","grapes"
"toy for girls",,"['for girls']","toy"
"amul masti curd","amul","['masti']","curd"
"tops chilli sauce","tops","[]","chilli sauce"
"choclate dairy milk","air","['chocolate']",
"water 250 ml",,"['250 ml']","water"
"art and craft kit",,"[]","art and craft kit"
"hd concealer insight",,"['hd']","concealer"
"tata sampann pista","pan","[]","pista"
"gagan mustard oil","gagan","['mustard']","oil"
"baby tooth brush","bru","[]","tooth brush"
"head and shoulders shampoo","head","[]","shampoo"
"tata salt crystal","crystal","['crystal']","salt"
"maggi magic cubes","maggi","['magic cubes']",
"basin cleaner brush","bru","[]","cleaner brush"
"bikaji kuch kuch","bika","['kuch kuch']",
"sunflower oil packet","flo","['sunflower', 'packet']","oil"
"patanjali dish wash","anjali","[]","dish wash"
"anmol lemon mazaa","anmol","['lemon']","mazaa"
"anti fungal powder","ant","['anti fungal']","powder"
"ceiling cloth dryer","lot","[]","ceiling cloth dryer"
"plain puffed rice","ice","['plain']","puffed rice"
"bail kolhu tel","bail kolhu","['bail']","tel"
"girl gone wild","one","[]",
"sofy pad xl","sofy","['xl']","pad"
"vip hair colour shampoo","air","[]","shampoo"
"pilgrim night cream","pilgrim","[]","night cream"
"britannia sweet bun","britannia","['sweet']","bun"
"ashirwad atta 10kg",,"['10kg']","atta"
"dal tadka masala","asal","['dal', 'tadka', 'masala']",
"philips body trimmer","philips","[]","body trimmer"
"chocolate chips cake",,"['chocolate chips']","cake"
"harry potter kinder jo","kinder","[]",
"whisper ultra xxl","ultra","['ultra', 'xxl']",
"herbal hookah flavour",,"['herbal']","hookah flavour"
"kaleva soan papdi","kaleva","[]","soan papdi"
"pouch for men",,"['for men']","pouch"
"night dress for women","omen","['for women']","night dress"
"guava ice cream","ice","['guava']","ice cream"
"baby bath chair","air","[]","bath chair"
"iphone 15 pro max cover","one","[]","cover"
"brano cream roll","ano","[]","cream roll"
"english oven pizza","english oven","[]","pizza"
"cetaphil oily skin","cetaphil","['oily skin']",
"milk choco chips",,"['milk']","choco chips"
"hoover lunch bag","lunch","[]","lunch bag"
"colgate purple toothpaste","colgate","['purple']","toothpaste"
"kapiva himalaya shilajit","himalaya","['himalaya', 'shilajit']",
"daily good corn flour","cor","[]","corn flour"
"spigen tempered glass","gen","['tempered glass']",
"fortune sugar 5kg","fortune","['5kg']","sugar"
"paper boat cashew","paper boat","[]","cashew"
"tata olive oil","tata","['olive']","oil"
"kit kat box",,"[]","box"
"thums up 2.25","thums up","['2.25']",
"choco fudge bar",,"[]","choco fudge bar"
"bread english oven","english oven","[]","bread"
"fresh fruit juice","fresh","['fresh']","fruit juice"
"rubber cricket ball",,"['rubber']","cricket ball"
"maggie special masala","asal","['special masala']",
"nude pink lipstick","pin","['nude', 'pink']","lipstick"
"brass tea pan","pan","['brass']","tea pan"
"instant cake mix","ant","[]","cake mix"
"fast charging adapter","arg","['fast charging']","adapter"
"water bottle hot",,"['hot']","water bottle"
"tan removal cream","rem","['tan removal']","cream"
"chumbak analog watch","chumbak","[]","watch"
"scooty mobile holder","mobil","[]","mobile holder"
"sirona sanitary pads","iron","[]","sanitary pads"
"plastic storage box","ora","['plastic']","storage box"
"biotique body oil","bio","[]","body oil"
"amul cheese 1kg","amul","['1kg']","cheese"
"hair color brown","air","['brown']","hair color"
"too yumm kurkure","kurkure","[]","kurkure"
"ultra soft brush","bru","['ultra soft']","brush"
"bata men's footwear","bata","[""men's""]","footwear"
"frooti mango juice","frooti","[]","mango juice"
"bag for girls",,"['for girls']","bag"
"portronics laptop table","nic","[]","laptop table"
"lemon grass oil","ras","['lemon grass']","oil"
"moong chilka dal","moon","[]","dal"
"shan chicken masala","asal","[]","chicken masala"
"insight cosmetics foundation","insight cosmetics","[]","foundation"
"ata 5 kg",,"['5 kg']","ata"
"de construct sunscreen","uns","[]","sunscreen"
"kali much rice","ice","[]","rice"
"mysore sandal soaps","mysore","[]","soaps"
"paneer 500 gm","pan","['500 gm']","paneer"
"today star tea","star","[]","tea"
"nevia roll on","nev","[]","roll on"
"xl size diaper",,"['xl size']","diaper"
"littles diaper pants","ant","[]","diaper pants"
"knorr schezwan sauce","knorr","['schezwan']","sauce"
"enamor women's underwear","enam","[""women's""]","underwear"
"avt filter coffee","avt","[]","filter coffee"
"b natural guava","b natural","[]","guava"
"gift hamper for men",,"['for men']","gift hamper"
"shin cup noodles",,"[]","cup noodles"
"listerine original mouthwash","gin","['original']","mouthwash"
"polish me pretty","polish me pretty","[]",
"fortune oil 5 litre","fortune","['5 litre']","oil"
"pintola peanut butter 1kg","pin","['1kg']","peanut butter"
"amul dark compound","amul","['dark', 'compound']",
"double horse urad","double horse","[]","urad"
"mysore pak sweet","mysore","[]","sweet"
"palekar knot khari","palekar","[]","knot khari"
"namkeen all in one","one","['all in one']","namkeen"
"hair serum for men","air","['for men']","hair serum"
"gift for teacher",,"['gift', 'for teacher']",
"farmley snack mix","farm","[]","snack mix"
"plum roll ons","plum","[]","roll ons"
"haldiram's potato chips","hald","[]","potato chips"
"vitamin c sunscreen","uns","['vitamin c']","sunscreen"
"hydrating face wash","ace","['hydrating']","face wash"
"knorr veg soup","knorr","[]","soup"
"lactogen pro 2","gen","['pro 2']","lactogen"
"buy 1 get 1 free",,"['buy 1 get 1 free']",
"gold flake honeydew","gold","['honeydew']",
"air pods boat","air","[]","air pods"
"sunflower oil 15 l","flo","['15 l']","sunflower oil"
"te-a-me green tea","te-a-me","['green']","tea"
"haldiram's masala kaju","asal","['masala']","kaju"
"cow milk paneer","pan","['cow', 'milk']","paneer"
"drinking glass set","gla","[]","glass set"
"butter popcorn tub","cor","[]","popcorn"
"parle krackjack biscuits","krack","['Krackjack']","biscuits"
"fire boltt ninja","fire boltt","[]",
"s24 ultra case","ultra","[]","case"
"black salt makhana","salt","['black salt']","makhana"
"bhagyalakshmi chakki atta","bhagyalakshmi","[]","chakki atta"
"bed sheet king size","king","['king size']","bed sheet"
"many poco pants","ant","[]","pants"
"ching's secret schezwan","ching's secret","[]","schezwan"
"palekar crispy khari","palekar","['crispy']","khari"
"classmate single line","classmate","['single line']",
"se7en safety pin","pin","[]","safety pin"
"gillette shave gel","gillette","[]","shave gel"
"zip lock bags","loc","[]","zip lock bags"
"renu lens solution","renu","[]","lens solution"
"mtr palak paneer","mtr","['palak paneer']",
"cadbury fuse chocolate","cadbury","['fuse']","chocolate"
"non-slip mouse pad",,"['non-slip']","mouse pad"
"silicon ice tray","ice","['silicon']","ice tray"
"onion half kg",,"['half kg']","onion"
"doms drawing book","dom","[]","drawing book"
"lalbaba miniket rice","alba","[]","rice"
"amul cheese 1 kg","amul","['1 kg']","cheese"
"zero sugar biscuit","sugar","['zero sugar']","biscuit"
"1 liter milk","lit","['1 liter']","milk"
"pampers new baby","new","['new', 'baby']",
"iphone 13 pro cover","one","[]","cover"
"veg aromat powder","aro","['veg', 'aromat']","powder"
"sling bag for men",,"['for men']","sling bag"
"good day pista","good day","['pista']","good day"
"bingo mad angle",,"['mad angle']",
"makai ka aata","kai","['makai', 'aata']",
"ashirwad atta 10 kg",,"['10 kg']","atta"
"iphone 16 mobile","mobil","[]","mobile"
"zebronics thunder pro","bro","['thunder pro']",
"new born baby dress","new","['new born']","baby dress"
"sweets gift pack","pac","[]","gift pack"
"coffee face wash","ace","[]","face wash"
"dark chocolate cone","ark","['dark']","chocolate cone"
"tetra pack juice","ice","[]","juice"
"anar ka juice","ice","['anar', 'juice']",
"lady finger vegetable",,"['lady finger']","vegetable"
"red bull sugarfree","red","['sugarfree', 'red']",
"spotify photo frame",,"[]","photo frame"
"mee mee feeding bottle","mee mee","[]","feeding bottle"
"cheese corn samosa","cor","['cheese', 'corn']","samosa"
"school pen box",,"[]","pen box"
"bucket mug stool",,"[]","stool"
"balaji cream and onion","balaji","['cream', 'onion']",
"durum wheat spaghetti",,"['durum wheat']","spaghetti"
"kabuli chana small",,"['small']","kabuli chana"
"good night machine","good night","['good night']","machine"
"bail kolhu mustard oil","bail kolhu","['bail', 'mustard']","oil"
"daily good dink","daily","[]","dink"
"real juice apple","apple","['apple']","juice"
"unibic butter cookies","unibic","['butter']","cookies"
"special masala noodles","asal","['special', 'masala']","noodles"
"retinol face serum","ace","['retinol']","face serum"
"good knight flash","good knight","['flash']",
"relish mutton paya","relish","['relish', 'mutton']","paya"
"onion garlic masala","asal","['onion', 'garlic', 'masala']",
"organic chilli powder","nic","['organic']","chilli powder"
"whiskas cat wet food",,"[]","cat wet food"
"amul sundae tub","amul","['sundae', 'tub']",
"iphone 13 pro","one","[]","iphone"
"body lotion ponds","lot","[]","body lotion"
"garnier vitamin c face wash","ace","['vitamin c']","face wash"
"fit & flex","fit & flex","[]",
"epic coffee mug",,"[]","coffee mug"
"honest tea green tea","honest tea","['green']","tea"
"klf coconad oil","cocon","[]","oil"
"bella vita perfume for women","bell","['for women']","perfume"
"hair serum men","air","['men']","hair serum"
"vicks zzzquil gummy","vicks","['zzzzquil', 'gummy']",
"chocolates dairy milk","air","[]","chocolates"
"rough note book",,"['rough']","notebook"
"one piece dress","one","[]","dress"
"anti dandruff oil","ant","['anti dandruff']","oil"
"office lunch box","ice","[]","lunch box"
"muscleblaze protein powder","muscleblaze","[]","protein powder"
"keya chicken pickle","hic","[]","pickle"
"kashmiri chilli chips",,"['kashmiri']","chips"
"matka kulfi combo","com","['matka', 'kulfi', 'combo']",
"adukale benne muruku","adukale","[]","muruku"
"garbage bag jumbo",,"['jumbo']","garbage bag"
"lotus lip balm","lot","[]","lip balm"
"bonn fruit bread","bon","[]","fruit bread"
"greeting card happy new year","appy","['happy', 'new year']","greeting card"
"daily delight rice","daily","['daily', 'delight']","rice"
"cheese slice amul","amul","[]","cheese slice"
"paneer milky mist","milky mist","[]","paneer"
"hair wax stick","air","[]","hair wax"
"biscuit big pack","pac","['big pack']","biscuit"
"black surgical mask","cal","['black']","surgical mask"
"henko front load","henko","[]","front load"
"agaro hot water bag","agaro","[]","hot water bag"
"party smart capsules",,"['party', 'smart']","capsules"
"black head remover strips","head","['black']","head remover strips"
"dr oetker funfoods",,"[]",
"a2 gir cow ghee",,"['a2', 'gir', 'cow']","ghee"
"mag ni dal",,"[]","dal"
"i phone 16 pro max","one","[]","i phone"
"ritebite max protein chips","max protein","['ritebite', 'max', 'protein', 'chips']",
"peri peri banana chips",,"['peri peri']","banana chips"
"zandu ayurvedic tooth paste","oot","['ayurvedic']","tooth paste"
"cookie and cream",,"['cookie and cream']",
"iphone 15 plus case","one","[]","case"
"haldiram's dal makhani","hald","['dal makhani']",
"doctor choice protein oats","choice","['doctor choice', 'protein']","oats"
